,pickup_gov,driver_name,all_trips
0,Al Jizah,1424,25233.0
1,Al Qahirah,875,23329.0
2,Al Qalyubiyah,843,19984.0
3,Ash Sharqiyah,397,5207.0
4,Al Minya,162,2706.0
5,Al Iskandariyah,272,2615.0
6,Asyut,85,2095.0
7,Al Buhayrah,202,1722.0
8,Bani Suwayf,99,1559.0
9,Suhaj,52,1431.0
10,Ad Daqahliyah,158,1372.0
11,As Suways,107,1281.0
12,Al Minufiyah,133,1016.0
13,Al Gharbiyah,80,977.0
14,Aswan,29,758.0
15,Qina,27,738.0
16,Al Fayyum,28,227.0
17,Dumyat,30,223.0
18,Al Isma`iliyah,50,208.0
19,Al Uqsur,16,163.0
20,Matrouh,49,137.0
21,Janub Sina`,5,132.0
22,Kafr ash Shaykh,13,27.0
23,Bur Sa`id,6,12.0
24,Al Wadi al Jadid,2,4.0
25,Al Bahr al Ahmar,1,2.0
26,Jeddah,1,2.0
